node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
46,0,0,4.0,0.0,130.0,0.0,80.0,0,0,5,3+ branch,0 no foreign neighbour,37.8135986328125,0.6200601076987825
47,0,0,2.0,0.0,130.0,0.0,80.0,0,0,0,2 path,0 no foreign neighbour,14.311699867248535,0.5494479581575507
48,0,0,2.0,0.0,130.0,0.0,80.0,0,0,0,2 path,0 no foreign neighbour,18.77869987487793,0.5114601941808492
49,0,0,2.0,0.0,130.0,0.0,80.0,0,0,0,2 path,0 no foreign neighbour,20.45680046081543,0.22620701616705352
50,4,4,2.0,0.0,130.0,0.5,47.0,1,0,0,2 path,mixed,6.151599884033203,0.6299226739666637
51,0,0,1.0,0.0,130.0,1.0,80.0,0,0,0,1 tip,1 all neighbours foreign,12.521200180053711,0.4441739951102439
52,4,4,4.0,0.0,130.0,0.5,47.0,1,1,0,3+ branch,mixed,15.829999923706055,0.7486494750266663
53,4,4,1.0,0.0,130.0,0.0,47.0,1,0,0,1 tip,0 no foreign neighbour,2.764169931411743,0.8224995972393505
54,0,0,3.0,0.0,130.0,0.0,80.0,0,0,0,3+ branch,0 no foreign neighbour,15.217599868774414,0.4492526901200751
55,0,0,3.0,0.0,130.0,0.3333333333333333,80.0,0,0,5,3+ branch,mixed,17.56290054321289,0.4284298097663746
56,4,4,2.0,0.0,130.0,1.0,47.0,1,0,0,2 path,1 all neighbours foreign,4.890389919281006,0.6639181337815769
57,0,0,2.0,0.0,130.0,0.5,80.0,1,0,6,2 path,mixed,18.84440040588379,0.6277970391119243
58,4,4,2.0,0.0,130.0,0.5,47.0,1,0,5,2 path,mixed,1.9705100059509277,0.21021704419050455
59,0,0,2.0,0.0,130.0,0.5,80.0,0,0,7,2 path,mixed,12.406299591064453,0.9735012452944464
60,0,0,3.0,0.0,130.0,0.6666666666666666,80.0,0,0,5,3+ branch,mixed,20.627099990844727,0.17702938720426808
61,4,4,2.0,0.0,130.0,0.0,47.0,1,1,0,2 path,0 no foreign neighbour,14.871700286865234,0.880163541065499
62,0,0,2.0,0.0,130.0,0.5,80.0,0,0,0,2 path,mixed,11.556099891662598,0.4642145706907603
63,4,4,2.0,0.0,130.0,0.5,47.0,1,1,0,2 path,mixed,6.852099895477295,0.8692783830315626
64,4,4,4.0,0.1666666716337204,130.0,0.5,47.0,1,0,5,3+ branch,mixed,16.73150062561035,0.9601260670885439
