dense_id	source_id	cfa_node_ids
3745	8104745	8104745
3746	8104859	8104859
3747	8104961	8104961
3748	8105123	8105123
3749	8105165	8105165
3750	8105255	8105255
3751	8105261	8105261
3752	8105267	8105267
3753	8105483	8105483
3754	8105603	8105603
3755	8105717	8105717
3756	8105849	8105849
3757	8105879	8105879
3758	8105885	8105885
3759	8105945	8105945
3760	8105969	8105969
3761	8106017	8106017
3762	8106047	8106047
3763	8106053	8106053
3764	8106395	8106395
3765	8106431	8106431
3766	8106533	8106533
3767	8106677	8106677
3768	8106707	8106707
3769	8106837	8106837
3770	8106839	8106839
3771	8106863	8106863
3772	8106887	8106887
3773	8106893	8106893
3774	8106911	8106911
3775	8106941	8106941
3776	8106977	8106977
3777	8106999	8106999
3778	8107001	8107001
3779	8107055	8107055
3780	8107061	8107061
3781	8107091	8107091
3782	8107145	8107145
3783	8107163	8107163
3784	8107169	8107169
3785	8107181	8107181
3786	8107205	8107205
3787	8107229	8107229
3788	8107277	8107277
3789	8107295	8107295
3790	8107301	8107301
3791	8107313	8107313
3792	8107343	8107343
3793	8107427	8107427
3794	8107457	8107457
3795	8107607	8107607
3796	8107625	8107625
3797	8107903	8107903
3798	8107961	8107961
3799	8108009	8108009
3800	8108165	8108165
3801	8108225	8108225
3802	8108243	8108243
3803	8108291	8108291
3804	8108375	8108375
3805	8108423	8108423
3806	8108459	8108459
3807	8108471	8108471
3808	8108543	8108543
3809	8108623	8108623
3810	8108661	8108661
3811	8108685	8108685
3812	8108727	8108727
3813	8108775	8108775
3814	8108859	8108859
3815	8108907	8108907
3816	8108919	8108919
3817	8108961	8108961
3818	8109037	8109037
3819	8109057	8109057
3820	8109135	8109135
3821	8109189	8109189
3822	8109207	8109207
3823	8109243	8109243
3824	8109255	8109255
3825	8109273	8109273
3826	8109279	8109279
3827	8109297	8109297
3828	8109423	8109423
3829	8109477	8109477
3830	8109513	8109513
3831	8109561	8109561
3832	8109591	8109591
3833	8109651	8109651
3834	8109711	8109711
3835	8109765	8109765
3836	8109837	8109837
3837	8109961	8109961
3838	8110081	8110081
3839	8110129	8110129
3840	8110147	8110147
3841	8110195	8110195
3842	8110255	8110255
3843	8110291	8110291
3844	8110357	8110357
3845	8110375	8110375
3846	8110399	8110399
3847	8110453	8110453
3848	8110483	8110483
3849	8110557	8110557
3850	8110647	8110647
3851	8110737	8110737
3852	8110743	8110743
3853	8110749	8110749
3854	8110761	8110761
3855	8110767	8110767
3856	8110773	8110773
3857	8110899	8110899
3858	8110923	8110923
3859	8110929	8110929
3860	8110935	8110935
3861	8110959	8110959
3862	8110995	8110995
3863	8111013	8111013
3864	8111085	8111085
3865	8111193	8111193
3866	8111223	8111223
3867	8111259	8111259
3868	8111283	8111283
3869	8111325	8111325
3870	8111331	8111331
3871	8111409	8111409
3872	8111463	8111463
3873	8111469	8111469
3874	8111475	8111475
3875	8111509	8111509
3876	8111511	8111511
3877	8111541	8111541
3878	8111607	8111607
3879	8111613	8111613
3880	8111617	8111617
3881	8111673	8111673
3882	8111769	8111769
3883	8111775	8111775
3884	8111943	8111943
3885	8112027	8112027
3886	8112045	8112045
3887	8112051	8112051
3888	8112081	8112081
3889	8112087	8112087
3890	8112105	8112105
3891	8112111	8112111
3892	8112129	8112129
3893	8112137	8112137
3894	8112149	8112149
3895	8112323	8112323
3896	8112363	8112363
3897	8112381	8112381
3898	8112453	8112453
3899	8112459	8112459
