node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
40,6,6,0.0,0.0,1.0,,51.0,1,0,9,0 isolated,,1.340559959411621,6.319007847870356
41,6,6,0.0,0.0,1.0,,51.0,1,0,9,0 isolated,,1.000290036201477,6.254034534969346
42,9,9,0.0,0.0,1.0,,30.0,1,1,2,0 isolated,,2.7786500453948975,26.912438865253897
43,7,7,0.0,0.0,1.0,,89.0,1,1,9,0 isolated,,1.0669300556182861,9.123503613464965
44,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,1.614490032196045,7.3025374970633
45,7,7,0.0,0.0,1.0,,89.0,1,1,9,0 isolated,,3.577009916305542,9.257566446802628
46,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,4.052989959716797,7.984873453621089
47,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,2.565690040588379,6.30263038026498
48,1,1,0.0,0.0,1.0,,26.0,0,0,4,0 isolated,,1.88496994972229,56.38208838877318
49,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,2.8070099353790283,2.7533948085018154
50,7,7,0.0,0.0,1.0,,89.0,0,0,5,0 isolated,,3.1677699089050293,12.630406941450767
51,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,1.8148900270462036,2.3582865314446733
52,0,0,0.0,0.0,1.0,,15.0,1,1,8,0 isolated,,2.443429946899414,5.14726356266699
53,4,4,1.0,0.0,2.0,0.0,33.0,1,1,9,1 tip,0 no foreign neighbour,2.0,16.525117672403244
54,6,6,0.0,0.0,1.0,,51.0,1,1,0,0 isolated,,1.7478899955749512,3.3460205048505554
55,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,2.48334002494812,6.370888790530453
56,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,1.8303799629211426,6.253529977177796
57,1,1,0.0,0.0,1.0,,26.0,1,0,9,0 isolated,,3.6875200271606445,12.941827789154523
58,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,1.8574899435043335,3.9770062070597243
59,3,3,0.0,0.0,1.0,,30.0,1,1,8,0 isolated,,2.629309892654419,6.405878524638702
60,3,3,1.0,0.0,8.0,1.0,30.0,1,1,8,1 tip,1 all neighbours foreign,2.8830199241638184,1.9765354765247614
61,1,1,0.0,0.0,1.0,,26.0,1,1,7,0 isolated,,2.4992499351501465,9.018532607327433
62,1,1,0.0,0.0,1.0,,26.0,1,0,8,0 isolated,,3.3831000328063965,4.886826689403717
63,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,1.0207978870262708
64,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,2.9298601150512695,3.5280317500766465
65,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,2.9589900970458984,6.066041330676389
66,8,8,0.0,0.0,1.0,,50.0,1,1,7,0 isolated,,2.99045991897583,17.6792624457477
67,2,2,0.0,0.0,1.0,,38.0,1,1,8,0 isolated,,3.7196600437164307,5.4238639234861505
68,2,2,0.0,0.0,1.0,,38.0,1,1,8,0 isolated,,2.633500099182129,2.506688917129558
69,8,8,1.0,0.0,3.0,0.0,50.0,0,0,8,1 tip,0 no foreign neighbour,2.8808600902557373,3.283687242082913
70,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,1.767799973487854,5.097851600063462
71,2,2,0.0,0.0,1.0,,38.0,1,1,6,0 isolated,,3.3327300548553467,34.32540982742981
72,6,6,0.0,0.0,1.0,,51.0,1,1,0,0 isolated,,1.3265299797058105,5.017850550097709
73,2,2,0.0,0.0,1.0,,38.0,0,0,9,0 isolated,,2.8596599102020264,3.7492466894071943
74,3,3,0.0,0.0,1.0,,30.0,1,1,8,0 isolated,,2.634399890899658,9.277655402069419
75,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,2.735869884490967,2.142100142899743
76,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,3.158679962158203,2.5698216035172248
77,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,3.226219892501831,6.246166094029807
78,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,3.1229300498962402,6.140739092952154
79,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,2.594099998474121,3.1474608864849865
80,7,7,0.0,0.0,1.0,,89.0,0,0,5,0 isolated,,1.7431999444961548,8.041028660637435
81,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0198299884796143,1.3081003473672348
82,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,3.1008200645446777,1.0376896818703565
83,1,1,0.0,0.0,1.0,,26.0,1,1,8,0 isolated,,4.252970218658447,3.4481283594185403
84,4,4,3.0,0.0,8.0,0.3333333333333333,33.0,0,0,6,3+ branch,mixed,4.946919918060303,67.45731634109426
85,0,0,0.0,0.0,1.0,,15.0,1,1,8,0 isolated,,3.833479881286621,1.5251876440672258
86,1,1,0.0,0.0,1.0,,26.0,1,0,8,0 isolated,,2.945430040359497,7.1963880661143875
87,2,2,0.0,0.0,1.0,,38.0,1,1,8,0 isolated,,2.8328700065612793,3.4046898034469275
88,0,0,0.0,0.0,1.0,,15.0,1,1,9,0 isolated,,3.349410057067871,6.902482111071607
89,6,6,0.0,0.0,1.0,,51.0,1,1,2,0 isolated,,2.139930009841919,28.51010002533328
90,2,2,0.0,0.0,1.0,,38.0,0,0,9,0 isolated,,3.230679988861084,8.309119954324585
91,2,2,0.0,0.0,1.0,,38.0,1,0,8,0 isolated,,3.562380075454712,2.0994323673157327
92,2,2,0.0,0.0,1.0,,38.0,0,0,9,0 isolated,,3.4974400997161865,7.574237559235397
93,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,4.196780204772949,2.235703718022108
94,9,9,0.0,0.0,1.0,,30.0,1,0,1,0 isolated,,3.478790044784546,7.366155148550538
95,0,0,0.0,0.0,1.0,,15.0,1,1,8,0 isolated,,2.8622400760650635,3.3233362756123777
96,4,4,0.0,0.0,1.0,,33.0,0,0,6,0 isolated,,5.0773701667785645,37.32076058322938
97,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,1.0,15.157943555035432
98,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,1.696719971809243
99,2,2,0.0,0.0,1.0,,38.0,0,0,9,0 isolated,,2.6421000957489014,7.515221778028261
100,6,6,0.0,0.0,1.0,,51.0,1,0,9,0 isolated,,1.9397900104522705,7.0685084258225395
101,6,6,0.0,0.0,1.0,,51.0,1,1,0,0 isolated,,2.1631500720977783,4.96139531911085
102,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,1.2831599712371826,4.424646853909677
103,9,9,0.0,0.0,1.0,,30.0,1,1,5,0 isolated,,3.4079599380493164,4.227342541194977
104,2,2,0.0,0.0,1.0,,38.0,1,1,8,0 isolated,,3.358870029449463,3.7053400298543897
105,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,3.0862200260162354,2.6214438168678558
106,2,2,0.0,0.0,1.0,,38.0,1,0,8,0 isolated,,3.147059917449951,1.9523355983388258
107,8,8,0.0,0.0,1.0,,50.0,1,1,3,0 isolated,,2.427649974822998,5.681058758925183
108,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,1.4443999528884888,3.490492449133864
109,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,3.7570900917053223,1.976689091958427
110,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,2.005110025405884,5.521682031668006
111,8,8,0.0,0.0,1.0,,50.0,1,1,7,0 isolated,,3.3379099369049072,16.669133460693228
112,4,4,0.0,0.0,1.0,,33.0,0,0,6,0 isolated,,4.641290187835693,22.32423507649468
113,9,9,0.0,0.0,1.0,,30.0,1,1,5,0 isolated,,3.1528899669647217,8.774011536689851
114,2,2,0.0,0.0,1.0,,38.0,1,1,7,0 isolated,,2.9779999256134033,6.965272550758016
115,6,6,0.0,0.0,1.0,,51.0,1,1,5,0 isolated,,1.7132500410079956,14.194766510095661
116,3,3,0.0,0.0,1.0,,30.0,1,1,8,0 isolated,,3.118459939956665,2.312056087231587
117,1,1,0.0,0.0,1.0,,26.0,1,1,8,0 isolated,,2.820509910583496,2.5247302853272697
118,9,9,0.0,0.0,1.0,,30.0,1,0,1,0 isolated,,2.6875,8.374415081844194
119,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,2.9554200172424316,2.9729824150103585
120,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,1.2341073244160867
121,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,1.1658319220964808
122,1,1,0.0,0.0,1.0,,26.0,1,0,8,0 isolated,,3.268239974975586,4.927743142878939
123,2,2,0.0,0.0,1.0,,38.0,0,0,9,0 isolated,,2.501349925994873,6.25072569758283
124,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0550099611282349,1.4353308802020288
125,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,3.4599099159240723,4.237290978193196
126,4,4,0.0,0.0,1.0,,33.0,1,1,8,0 isolated,,3.7195401191711426,6.278442169489904
127,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,0.7648437504489828
128,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,2.6791999340057373,3.9019781145703996
129,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,2.4751501083374023,3.719256528833277
130,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,2.860379934310913,3.3883807934158137
131,4,4,0.0,0.0,1.0,,33.0,1,0,8,0 isolated,,3.6308701038360596,5.057652754166844
132,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,3.536259889602661,1.694839089840769
133,6,6,0.0,0.0,1.0,,51.0,1,1,5,0 isolated,,2.135509967803955,14.395001672816889
134,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,1.0,16.451685214392906
135,3,3,0.0,0.0,1.0,,30.0,1,1,9,0 isolated,,1.0,10.00219790865638
136,3,3,0.0,0.0,1.0,,30.0,1,1,9,0 isolated,,4.278969764709473,7.058160390909299
137,4,4,3.0,0.0,8.0,0.3333333333333333,33.0,1,0,8,3+ branch,mixed,8.459320068359375,16.615121733143464
138,4,4,1.0,0.0,8.0,0.0,33.0,0,0,7,1 tip,0 no foreign neighbour,4.668920040130615,19.18895669459709
139,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,3.0619499683380127,2.323448242673625
140,3,3,2.0,0.0,8.0,0.5,30.0,1,1,7,2 path,mixed,3.2950799465179443,4.803619032474565
141,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,1.7165199518203735,5.804349759553672
142,0,0,0.0,0.0,1.0,,15.0,1,1,9,0 isolated,,1.0,11.718591213329178
143,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,1.0,15.978268885531763
144,7,7,0.0,0.0,1.0,,89.0,0,0,5,0 isolated,,2.344749927520752,15.237708837687892
145,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,0.8539650864473485
146,6,6,0.0,0.0,1.0,,51.0,1,0,9,0 isolated,,1.0,7.014636447644441
147,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,3.0269100666046143,6.361972539288566
148,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,1.6121900081634521,5.342623392154475
149,2,2,0.0,0.0,1.0,,38.0,1,1,8,0 isolated,,2.337510108947754,5.72390272441739
150,4,4,1.0,0.0,2.0,0.0,33.0,1,1,9,1 tip,0 no foreign neighbour,3.361690044403076,16.201095333888134
151,5,5,0.0,0.0,1.0,,21.0,1,1,3,0 isolated,,1.0,4.57806270909793
152,6,6,0.0,0.0,1.0,,51.0,1,1,0,0 isolated,,1.8708100318908691,3.007173919308015
153,6,6,0.0,0.0,1.0,,51.0,1,0,3,0 isolated,,1.2861100435256958,1.4123982613126012
154,6,6,0.0,0.0,1.0,,51.0,1,1,5,0 isolated,,1.947849988937378,12.303559162823973
155,6,6,0.0,0.0,1.0,,51.0,1,0,9,0 isolated,,1.5092600584030151,8.02760086241251
156,6,6,0.0,0.0,1.0,,51.0,1,1,0,0 isolated,,3.427759885787964,3.5302557578730585
157,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,5.534329891204834,5.0202364906101264
158,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,3.1572699546813965,12.625794690472068
159,8,8,0.0,0.0,1.0,,50.0,1,1,7,0 isolated,,3.7400600910186768,6.953601591034357
160,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0913100242614746,0.906221717653884
161,4,4,0.0,0.0,1.0,,33.0,1,0,8,0 isolated,,5.870140075683594,3.773572755072142
162,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,2.4945099353790283,13.474989701566116
163,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,2.4894700050354004,1.1992166380342926
164,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,3.0653700828552246,2.7059892489864565
165,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,2.167840003967285,2.3729377891436534
166,9,9,0.0,0.0,1.0,,30.0,1,0,1,0 isolated,,2.743989944458008,7.110498560129256
167,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,1.2727400064468384,3.7712367380854936
168,2,2,0.0,0.0,1.0,,38.0,1,0,8,0 isolated,,2.830980062484741,2.3670595998755246
169,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,6.513909816741943,11.03830217028279
170,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,2.5915699005126953,2.490573671886071
171,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,2.6780600547790527,2.3209601482298323
172,8,8,0.0,0.0,1.0,,50.0,1,1,7,0 isolated,,2.5305299758911133,14.253404977900889
173,6,6,0.0,0.0,1.0,,51.0,1,1,3,0 isolated,,2.6011300086975098,1.9123523047407822
174,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,2.734920024871826,4.056679356766171
175,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,2.8468899726867676,2.4356572855953957
176,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,1.4220600128173828,5.329892843631217
177,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,2.5264699459075928,5.072068077357753
178,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,3.7795000076293945,1.5056095359539943
179,4,4,0.0,0.0,1.0,,33.0,1,0,8,0 isolated,,4.954380035400391,5.365333446408099
180,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,1.5064508513331007
181,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,3.308180093765259,2.5727539638826116
182,5,5,0.0,0.0,1.0,,21.0,1,1,1,0 isolated,,1.0,1.538093315063637
183,1,1,0.0,0.0,1.0,,26.0,1,0,9,0 isolated,,3.2851600646972656,11.594274117794082
184,2,2,0.0,0.0,1.0,,38.0,1,1,7,0 isolated,,3.1289501190185547,9.513076401085103
185,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,3.920380115509033,5.0950081376086285
186,8,8,0.0,0.0,1.0,,50.0,1,1,9,0 isolated,,2.671149969100952,7.854581796690933
