node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
500,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,3,2 path,1 all neighbours foreign,427.8353271484375,0.12974196672439575,2.0,6.0
501,6,trolley,2.0,0.0,4562.0,1.0,261.0,1,1,4,2 path,1 all neighbours foreign,111.14481353759766,0.19693441689014435,1.0,2.0
502,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,4,2 path,1 all neighbours foreign,138.10214233398438,0.19244004786014557,2.0,2.0
503,0,bus,3.0,0.0,4562.0,0.3333333333333333,3145.0,0,0,3,3+ branch,mixed,316.41131591796875,0.15483714640140533,1.0,6.0
504,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,0,1 tip,1 all neighbours foreign,189.33340454101562,0.08610671013593674,1.0,4.0
505,6,trolley,2.0,0.0,4562.0,0.5,261.0,1,1,0,2 path,mixed,202.12896728515625,0.07885801047086716,1.0,4.0
506,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,5,1 tip,0 no foreign neighbour,517.9650268554688,0.10065170377492905,2.0,9.0
507,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,2,1 tip,1 all neighbours foreign,62.60839080810547,0.19898177683353424,1.0,1.0
508,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,0,2 path,0 no foreign neighbour,854.350830078125,0.09115297347307205,2.0,16.0
509,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,0,2 path,mixed,711.8956298828125,0.09538783133029938,2.0,13.0
510,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,5,1 tip,0 no foreign neighbour,604.0159301757812,0.09231769293546677,2.0,10.0
511,0,bus,1.0,0.0,4562.0,0.0,3145.0,0,0,4,1 tip,0 no foreign neighbour,12.377492904663086,0.20842163264751434,1.0,1.0
512,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,0,2 path,0 no foreign neighbour,711.2963256835938,0.10012774914503098,2.0,13.0
