route,n_stops,cohesion,null_cohesion,span
bus:203,45,0.6444444444444445,0.3319999999999999,0.11901739239692688
bus:204Э,60,0.5166666666666667,0.32499999999999996,0.4983236491680145
bus:205,9,0.8888888888888888,0.40666666666666657,0.028286267071962357
bus:206,45,0.5333333333333333,0.3417777777777777,0.10662192106246948
bus:207,32,0.375,0.345,0.6147068738937378
bus:208,51,0.5686274509803921,0.3466666666666666,0.15147964656352997
bus:209,18,0.3888888888888889,0.3744444444444445,0.057987671345472336
bus:21,32,0.53125,0.361875,0.0955645740032196
bus:210,78,0.5897435897435898,0.34512820512820513,0.437242716550827
bus:211,79,0.5443037974683544,0.3301265822784809,0.640860378742218
bus:211Э,28,0.6071428571428571,0.3392857142857143,0.6407531499862671
bus:213,27,0.48148148148148145,0.34666666666666673,0.3418455719947815
bus:214А,12,0.6666666666666666,0.40833333333333327,0.03517482429742813
bus:214Б,10,0.8,0.408,0.031075648963451385
bus:215,30,0.36666666666666664,0.36666666666666664,0.27269989252090454
bus:216,31,0.8064516129032258,0.3445161290322581,0.2776585519313812
bus:216А,47,0.6382978723404256,0.3497872340425532,0.3252365291118622
bus:219,32,0.625,0.348125,0.09640912711620331
bus:22,65,0.3384615384615385,0.32707692307692304,0.2130783498287201
bus:220,41,0.6829268292682927,0.33951219512195124,0.09630656987428665
bus:221,42,0.5238095238095238,0.3571428571428571,0.11756128817796707
bus:222,58,0.6896551724137931,0.32827586206896553,0.15085984766483307
bus:223,29,0.5862068965517241,0.3448275862068966,0.061570413410663605
bus:225,55,0.5454545454545454,0.324,0.1381799280643463
bus:226,67,0.8805970149253731,0.33343283582089556,0.20265965163707733
bus:227,63,0.47619047619047616,0.3371428571428571,0.12538942694664001
bus:228,25,0.4,0.3536000000000001,0.0689624473452568
bus:229,49,0.8163265306122449,0.32816326530612244,0.17776980996131897
bus:23,31,0.5161290322580645,0.33870967741935487,0.07762820273637772
bus:230,62,0.3064516129032258,0.32806451612903226,0.2141563892364502
bus:231,26,0.5,0.3507692307692307,0.04445622116327286
bus:232,20,0.65,0.375,0.10048014670610428
bus:233,14,0.6428571428571429,0.36857142857142855,0.04347679764032364
bus:234,50,0.76,0.33000000000000007,0.1499566286802292
bus:235,45,0.4222222222222222,0.3502222222222221,0.08666432648897171
bus:236,36,0.3888888888888889,0.33333333333333337,0.07404088973999023
bus:237,53,0.5849056603773585,0.33773584905660387,0.17061355710029602
bus:239,67,0.746268656716418,0.32029850746268657,0.37541013956069946
bus:24,56,0.5535714285714286,0.3285714285714286,0.22553972899913788
bus:240,23,0.5217391304347826,0.3869565217391304,0.08431999385356903
bus:241,41,0.6097560975609756,0.3521951219512196,0.22684839367866516
bus:242,33,0.42424242424242425,0.35090909090909084,0.16778989136219025
bus:243,50,0.72,0.33520000000000005,0.2157793939113617
bus:244,23,0.4782608695652174,0.3556521739130435,0.07629702985286713
bus:245,60,0.5833333333333334,0.33833333333333326,0.2432127594947815
bus:246,56,0.5357142857142857,0.3292857142857143,0.21123814582824707
bus:247,30,0.5333333333333333,0.3413333333333333,0.15586122870445251
bus:248,13,0.46153846153846156,0.42153846153846153,0.06448391824960709
bus:249,84,0.34523809523809523,0.33119047619047615,0.2368423342704773
bus:25,35,0.3142857142857143,0.3537142857142856,0.07500019669532776
bus:250,30,0.36666666666666664,0.35200000000000004,0.1384231448173523
bus:251,45,0.6222222222222222,0.3355555555555555,0.10500507801771164
bus:252,59,0.5254237288135594,0.3498305084745763,0.2469818890094757
bus:253,50,0.78,0.3368,0.11930850893259048
bus:254,15,0.8666666666666667,0.38,0.12338246405124664
bus:255А,23,0.5217391304347826,0.3608695652173913,0.050380125641822815
bus:255Б,21,0.6666666666666666,0.3628571428571427,0.04877554625272751
bus:256,37,0.5135135135135135,0.33027027027027034,0.18560561537742615
bus:258,23,0.43478260869565216,0.3408695652173913,0.061954911798238754
bus:259,40,0.575,0.3435,0.21690979599952698
bus:26,71,0.6901408450704225,0.33154929577464787,0.18715186417102814
bus:260,26,0.7307692307692307,0.35692307692307684,0.08324138075113297
bus:261,16,0.5625,0.37,0.03575412929058075
bus:262,50,0.76,0.326,0.11551619321107864
bus:263,48,0.4791666666666667,0.3475,0.1310223788022995
bus:264,75,0.5333333333333333,0.3378666666666667,0.13800983130931854
bus:265,39,0.41025641025641024,0.33230769230769225,0.12631632387638092
