node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,length,gc,n_sample_colors
630,2,T3,3.0,0.0,394.0,0.3333333333333333,156.0,1,1,1,3+ branch,mixed,9.5848,469.0,0.5138592750533049,1.0
631,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.8425,275.0,0.37454545454545457,2.0
632,5,T7,2.0,0.0,394.0,0.5,163.0,1,0,4,2 path,mixed,8.4444,66.0,0.5606060606060606,1.0
633,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.5369,170.0,0.3411764705882353,1.0
634,2,T3,2.0,0.0,394.0,1.0,156.0,1,1,1,2 path,1 all neighbours foreign,6.1556,66.0,0.5151515151515151,1.0
635,5,T7,2.0,0.0,394.0,1.0,163.0,1,1,3,2 path,1 all neighbours foreign,7.4272,124.0,0.4838709677419355,1.0
636,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,82.0,0.3048780487804878,2.0
637,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,16.625,29.0,0.41379310344827586,2.0
638,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.2481,291.0,0.3470790378006873,1.0
639,5,T7,4.0,0.0,394.0,0.5,163.0,1,1,1,3+ branch,mixed,11.2632,59.0,0.5254237288135594,1.0
640,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.363,291.0,0.3127147766323024,2.0
641,2,T3,4.0,0.0,394.0,0.5,156.0,1,1,1,3+ branch,mixed,14.6727,76.0,0.5131578947368421,1.0
642,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.0,114.0,0.30701754385964913,1.0
643,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.5362,491.0,0.3971486761710794,1.0
644,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.4857,126.0,0.42063492063492064,1.0
645,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9054,338.0,0.44970414201183434,2.0
646,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,13.6667,24.0,0.5416666666666666,2.0
647,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,9.743,1165.0,0.5012875536480687,1.0
648,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,18.0,27.0,0.4444444444444444,2.0
649,5,T7,2.0,0.0,394.0,0.5,163.0,1,0,3,2 path,mixed,10.3514,465.0,0.4731182795698925,1.0
650,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.3443,445.0,0.3887640449438202,1.0
651,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,7.9846,1646.0,0.46780072904009723,1.0
652,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0625,309.0,0.34951456310679613,2.0
653,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.5832,976.0,0.35860655737704916,2.0
654,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.4393,367.0,0.3405994550408719,1.0
655,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,124.0,0.4032258064516129,2.0
656,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.6694,142.0,0.4084507042253521,2.0
657,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9883,704.0,0.29829545454545453,2.0
658,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.3209,317.0,0.3249211356466877,2.0
659,3,T4,2.0,0.0,4.0,0.5,389.0,0,0,4,2 path,mixed,2.1386,865.0,0.4138728323699422,2.0
660,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.774,167.0,0.3413173652694611,2.0
661,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.9678,643.0,0.3468118195956454,1.0
662,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.5826,747.0,0.33467202141900937,2.0
663,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.1833,272.0,0.3161764705882353,2.0
664,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.5272,886.0,0.34085778781038373,2.0
665,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.3589,542.0,0.4003690036900369,1.0
